|Concept ID|Concept Name|Code|Vocabulary|Excluded|Descendants|Mapped
|:---|:---------------------------------------|:--|:-----|:--:|:--:|:--:|
|439235|Self inflicted injury|276853009|SNOMED|NO|YES|NO|
|4181216|Self-administered poisoning|363293009|SNOMED|NO|YES|NO|
|444362|Suicidal deliberate poisoning|86849004|SNOMED|NO|YES|NO|
|440925|Suicide|44301001|SNOMED|NO|YES|NO|
|4303690|Intentionally harming self|418420002|SNOMED|NO|YES|NO|
|4219484|Suicide attempt|82313006|SNOMED|NO|YES|NO|
|435446|Late effect of self inflicted injury|219174008|SNOMED|NO|YES|NO|
|4092411|Self-injurious behavior|248062006|SNOMED|NO|YES|NO|
|443272|Injury undetermined whether accidentally or purposely inflicted|269735005|SNOMED|NO|YES|NO|
